aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
4,297.07,0,13.54,36.12,17.88,19.43,55.11,4.12
4,313.76,0,13.88,33.26,16.21,19,52.39,4.5
3,287.06,0.03,14.05,22.53,16.69,14.3,38.8,3.58
3,253.68,0.01,13.02,28.61,19.31,18.09,42.06,2.25
2,297.07,0.01,13.37,27.54,16.45,14.97,27.12,4.12
2,333.79,0,15.59,32.9,18.12,11.72,18.8,4.75
2,263.69,0,8.4,43.27,11.68,11.64,24.33,2.66
2,280.38,0.01,9.43,29.33,12.28,15.67,25.12,3.07
1,257.02,0.02,6.94,23.6,7.45,8.04,10.9,2.53
2,277.04,0.01,10.11,27.18,9.78,11.49,17.3,3.01
3,243.66,0,5.36,31.47,7.15,16.22,37.13,1.9
3,313.76,0,9.68,32.54,11.33,22.35,48.15,4.05
4,353.81,0,12.85,33.62,13.23,25.48,63.02,5.32
3,283.72,0,10.97,32.9,12.52,20.3,48.28,3.07
3,300.41,0.02,14.74,23.96,18.36,23.13,43.5,3.26
2,297.07,0.17,20.22,14.13,29.8,19.31,22.3,1.76
2,433.92,0.24,21.76,11.98,22.41,18.76,21.27,2.31
2,460.63,0.13,15.77,13.23,15.97,17.49,19.15,2.85
2,507.36,1.73,15.77,2.55,11.44,18.33,23.07,3.29
5,1268.39,14.75,27.76,0.03,20.98,73.26,108.07,7.28
4,580.79,0.52,22.28,7.78,18.6,34.01,47.93,4.24
3,473.98,0.07,18.51,17.88,17.64,22.59,29.13,3.2
2,377.18,0.08,16.45,16.81,13.95,11.15,14.85,3.2
4,460.63,0.31,19.54,10.28,17.41,25.85,39.99,4.24
2,413.9,0.1,13.37,15.56,11.09,19.88,32.81,4.94
2,357.15,0,13.71,33.62,13.47,15.66,30.45,4.75
3,387.19,0.02,14.74,21.82,12.76,17.66,38.49,3.74
2,373.84,0,15.77,36.12,16.69,17.94,27.89,3.8
2,440.6,0.05,15.59,19.67,14.31,16.41,29.06,5.45
4,273.71,0.01,7.8,27.18,7.99,16.18,50.37,3.26
3,263.69,0.02,9.25,22.71,9.54,19.53,47.44,3.01
4,313.76,0,10.2,30.4,8.82,26.41,83.2,5.13
3,320.44,0.19,17.48,12.52,21.94,20.54,45.11,3.96
3,370.5,0.05,16.28,20.03,19.79,22.61,34.55,4.62
2,367.17,0.02,15.08,24.32,18.36,18,28.36,5
2,327.11,0.01,10.28,28.61,10.97,11.85,23.95,4.56
3,290.39,0.01,7.71,27.18,10.01,15.37,39.62,2.57
3,343.8,0.07,16.28,18.24,18.84,23.4,42.48,4.5
2,283.72,0,7.28,34.69,9.42,18.31,26.57,2.44
4,534.06,6.54,27.08,0.22,46.73,26.16,29.6,3.33
5,1214.98,17.66,29.82,0,22.65,54.41,70.55,6.27
2,330.45,0.63,21.42,6.62,30.99,16.12,20.91,2.72
3,433.92,4.64,25.36,0.5,36.24,21.56,27.55,3.64
5,587.46,0.34,34.62,9.74,39.1,52.73,58.96,2.28
5,514.03,0.82,47.3,5.01,74.39,50.83,58.85,1.95
2,320.44,0.01,11.31,27.9,11.09,15.27,17.37,2.69
2,267.03,0,5.06,36.48,6.02,13.99,25.13,1.74
2,283.72,0.03,8.05,23.25,8.46,12.72,17.57,2.72
2,263.69,0.02,7.03,25.75,7.33,13.72,24.35,2.44
4,280.38,0.03,8.65,22.89,8.7,26.03,63.72,1.87
4,317.1,0.02,10.11,25.75,10.61,31.35,81.99,2.79
4,347.14,0.03,12.68,21.99,11.8,31.37,70.36,3.01
3,317.1,0.05,6.94,18.95,6.8,20.47,29.21,1.73
1,290.39,0.02,9.08,24.68,5.36,7.65,8.11,0.91
3,307.08,0.07,10.11,18.24,9.54,21.25,24.5,2.41
4,280.38,0.08,8.23,17.7,8.11,26.79,52.83,1.96
4,263.69,0.01,6.86,28.97,6.97,21.95,72.14,2.06
4,263.69,0.02,6.26,26.46,6.44,22.44,68,1.71
